Permutation,eval_r2,eval_mape,eval_mdape,eval_consensus
"('DESTROYED', 'I(DESTROYED>4.5)', 'INCOME', 'I(INCOME>0.7)', 'I(PALMA>0.06)')",0.7706146910942404,0.15672818111539946,0.11370084195668313,0.1666047773259474
"('DESTROYED', 'I(DESTROYED>4.5)', 'PALMA', 'AGE_DEPENDENCY')",0.779878014845194,0.15894370938705854,0.12095236248062265,0.16667268567416238
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(INCOME>0.7)', 'I(PALMA>0.06)')",0.7720894690436102,0.15954175866510054,0.11262968583799925,0.16669399181982988
"('DESTROYED', 'I(INCOME>0.7)', 'I(PALMA>0.06)', 'I(AGE_DEPENDENCY>0.67)', 'DESTROYED×INCOME')",0.7597694815989093,0.14601261314657252,0.1140096161024015,0.1667509158833549
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(INCOME>0.7)', 'PALMA', 'AGE_DEPENDENCY')",0.7787440550524716,0.1585340405652779,0.12067566686585307,0.1668218841262198
"('DESTROYED', 'INCOME', 'PALMA', 'I(AGE_DEPENDENCY>0.67)')",0.7541627611784575,0.14339937989222565,0.11127648110354994,0.16683769993910605
"('DESTROYED', 'I(INCOME>0.7)', 'I(PALMA>0.06)', 'AGE_DEPENDENCY')",0.7624754069450426,0.1439246515707159,0.11919655312060498,0.1668819325820928
"('DESTROYED', 'INCOME', 'I(INCOME>0.7)', 'I(PALMA>0.06)', 'I(AGE_DEPENDENCY>0.67)')",0.7558616066336877,0.14218485409232565,0.11443231023182451,0.16691851923015413
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(INCOME>0.7)', 'PALMA')",0.7724981039571909,0.16207021316806808,0.11144616607125292,0.16700609176071005
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(PALMA>0.06)', 'I(TENURE_SECURITY>0.81)')",0.7692835192766665,0.15807942787315196,0.11244992286972794,0.16708194382207112
"('DESTROYED', 'PALMA', 'AGE_DEPENDENCY', 'DESTROYED×INCOME')",0.7526617490955511,0.1444945339937295,0.1095566885052377,0.16712982446780536
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(PALMA>0.06)', 'GRID_SMOD')",0.7701036762428347,0.15849117001360327,0.11304543086999433,0.16714430821358764
"('DESTROYED', 'I(DESTROYED>4.5)', 'INCOME', 'PALMA', 'I(AGE_DEPENDENCY>0.67)')",0.7793037367335259,0.15892079709005363,0.1221263841297761,0.16724781482876794
"('DESTROYED', 'I(INCOME>0.7)', 'AGE_DEPENDENCY', 'I(AGE_DEPENDENCY>0.67)', 'TENURE_SECURITY')",0.7621910687106542,0.14553883130446243,0.11841133333742039,0.1672530319770762
"('DESTROYED', 'PALMA', 'I(AGE_DEPENDENCY>0.67)', 'DESTROYED×INCOME')",0.7530302805899611,0.14269870415585734,0.11275872651643126,0.16747571669410913
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(AGE_DEPENDENCY>0.67)')",0.7820713334470483,0.15693400830154422,0.12760753950949835,0.16749007145466477
"('DESTROYED', 'I(INCOME>0.7)', 'I(AGE_DEPENDENCY>0.67)', 'TENURE_SECURITY', 'DESTROYED×INCOME')",0.7644538442519256,0.1471061858832858,0.11998885886106544,0.16754706683080856
"('DESTROYED', 'INCOME', 'PALMA', 'I(AGE_DEPENDENCY>0.67)', 'I(TENURE_SECURITY>0.81)')",0.7520928071800858,0.1418125175751477,0.11299761470973346,0.16757244170159846
"('DESTROYED', 'I(DESTROYED>4.5)', 'PALMA', 'I(PALMA>0.06)', 'DESTROYED×INCOME')",0.7700895708907101,0.16021746949326718,0.11346774392715823,0.16786521417657177
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(PALMA>0.06)', 'AGE_DEPENDENCY', 'I(TENURE_SECURITY>0.81)')",0.7700970561107704,0.1561989881034262,0.11761301502367201,0.16790498233877593
"('DESTROYED', 'I(INCOME>0.7)', 'AGE_DEPENDENCY')",0.7649434011839922,0.15071206545371701,0.11811705182787219,0.16796190536586567
"('DESTROYED', 'I(PALMA>0.06)', 'I(AGE_DEPENDENCY>0.67)', 'I(TENURE_SECURITY>0.81)')",0.7485375539574481,0.13938010777073673,0.1130878985358607,0.1679768174497164
"('DESTROYED', 'I(INCOME>0.7)', 'I(AGE_DEPENDENCY>0.67)')",0.7629986056063809,0.1494054724132677,0.11760486400902116,0.16800391027196934
"('DESTROYED', 'INCOME', 'I(PALMA>0.06)', 'I(AGE_DEPENDENCY>0.67)')",0.751117468739303,0.14263324378063402,0.11278113436297846,0.1680989698014365
"('DESTROYED', 'I(INCOME>0.7)', 'PALMA', 'AGE_DEPENDENCY', 'I(AGE_DEPENDENCY>0.67)')",0.7554605822749119,0.14993893820680126,0.10986841819004876,0.16811559137397938
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(PALMA>0.06)', 'TENURE_SECURITY')",0.7687696546992554,0.1582468473783638,0.11489183141441224,0.16812300803117353
"('DESTROYED', 'I(DESTROYED>4.5)', 'INCOME', 'I(PALMA>0.06)', 'I(TENURE_SECURITY>0.81)')",0.7641677793649635,0.1587656326021489,0.10983492072148045,0.16814425798622193
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(PALMA>0.06)', 'GRID_SMOD', 'AGE_DEPENDENCY')",0.7728550179833307,0.15783455560725113,0.11965909821274827,0.16821287861222292
"('DESTROYED', 'I(DESTROYED>4.5)', 'PALMA', 'GRID_SMOD', 'I(AGE_DEPENDENCY>0.67)')",0.7757358498530256,0.16046705351579546,0.11995866891441284,0.16822995752572756
"('DESTROYED', 'I(DESTROYED>4.5)', 'PALMA', 'AGE_DEPENDENCY', 'DESTROYED×INCOME')",0.7754966641522475,0.1600834073021139,0.12017462192981235,0.1682537883598929
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(AGE_DEPENDENCY>0.67)', 'TENURE_SECURITY', 'DESTROYED×INCOME')",0.7788852029517819,0.15449092906688833,0.12919387515001024,0.1682665337550389
"('DESTROYED', 'INCOME', 'I(PALMA>0.06)', 'AGE_DEPENDENCY')",0.7513868856643102,0.1445210495967446,0.11172692808085787,0.16828703067109743
"('DESTROYED', 'I(DESTROYED>4.5)', 'INCOME', 'PALMA', 'I(PALMA>0.06)')",0.7684098144007726,0.1605208176748732,0.11285006278805955,0.1683203553540534
"('DESTROYED', 'I(INCOME>0.7)', 'PALMA', 'I(PALMA>0.06)', 'AGE_DEPENDENCY')",0.7577361185215516,0.14794470575085952,0.11490135305726164,0.16836998009552318
"('DESTROYED', 'I(INCOME>0.7)', 'AGE_DEPENDENCY', 'TENURE_SECURITY', 'I(TENURE_SECURITY>0.81)')",0.7612862284759587,0.14761929790529182,0.11880409344888611,0.16837905429273972
"('DESTROYED', 'PALMA', 'I(AGE_DEPENDENCY>0.67)', 'I(TENURE_SECURITY>0.81)')",0.7498240985622724,0.14052857381202383,0.11469081138966182,0.16846509554647107
"('DESTROYED', 'I(DESTROYED>4.5)', 'INCOME', 'I(AGE_DEPENDENCY>0.67)', 'TENURE_SECURITY')",0.7776020209533403,0.1551255264454819,0.1279810942991872,0.16850153326377626
"('DESTROYED', 'INCOME', 'PALMA', 'AGE_DEPENDENCY', 'I(TENURE_SECURITY>0.81)')",0.7509955124772861,0.14656449694551996,0.11009054008991208,0.1685531748527153
"('DESTROYED', 'PALMA', 'I(PALMA>0.06)', 'AGE_DEPENDENCY')",0.7483737752174107,0.14320600818866078,0.1108615898885132,0.16856460761992112
"('DESTROYED', 'I(INCOME>0.7)', 'PALMA', 'AGE_DEPENDENCY', 'I(TENURE_SECURITY>0.81)')",0.7601581526702659,0.14747617224710463,0.11841427786449468,0.16857743248044446
"('DESTROYED', 'I(AGE_DEPENDENCY>0.67)')",0.7612362431091199,0.14377776301236353,0.12323411374565427,0.16859187788296595
"('DESTROYED', 'I(INCOME>0.7)', 'I(AGE_DEPENDENCY>0.67)', 'TENURE_SECURITY', 'I(TENURE_SECURITY>0.81)')",0.7596014480142289,0.14461032143335617,0.12085857803977708,0.16862248381963477
"('DESTROYED', 'PALMA', 'I(AGE_DEPENDENCY>0.67)', 'I(TENURE_SECURITY>0.81)', 'DESTROYED×INCOME')",0.7482902515562795,0.14150651102660564,0.1127786199169755,0.16866495979576723
"('DESTROYED', 'PALMA', 'I(PALMA>0.06)', 'I(AGE_DEPENDENCY>0.67)')",0.7510160984836871,0.1414577033392199,0.1156559151300068,0.16869917332851317
"('DESTROYED', 'INCOME', 'PALMA', 'I(AGE_DEPENDENCY>0.67)', 'TENURE_SECURITY')",0.7477516092057348,0.14296673524931813,0.11092539248860678,0.1687135061773967
"('DESTROYED', 'INCOME', 'I(INCOME>0.7)', 'PALMA', 'I(AGE_DEPENDENCY>0.67)')",0.756526939513392,0.14920332663830627,0.11351017746780237,0.16872885486423886
"('DESTROYED', 'I(PALMA>0.06)', 'I(AGE_DEPENDENCY>0.67)', 'DESTROYED×INCOME')",0.7504225926004882,0.14187606903234637,0.11485410457029263,0.16876919366738363
"('DESTROYED', 'I(INCOME>0.7)', 'PALMA', 'AGE_DEPENDENCY', 'EPR')",0.7590496310408233,0.1527368428383694,0.11268028605603332,0.16878916595119312
"('DESTROYED', 'I(DESTROYED>4.5)', 'PALMA', 'DESTROYED×INCOME')",0.7721196250962171,0.16174219337643206,0.11680467459908804,0.16880908095976765
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(PALMA>0.06)', 'EPR')",0.768514021125944,0.15855912845978953,0.11640864236854669,0.16881791656746406
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(PALMA>0.06)', 'I(TENURE_SECURITY>0.81)', 'DESTROYED×INCOME')",0.7650111605895384,0.1590767306644498,0.11251463828607976,0.16886006945366372
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(INCOME>0.7)', 'I(PALMA>0.06)', 'DESTROYED×INCOME')",0.7711843227075048,0.159612335816741,0.11837013840848183,0.16893271717257266
"('DESTROYED', 'PALMA')",0.7513254870554664,0.1443218476215224,0.11391412414648114,0.16897016157084568
"('DESTROYED', 'INCOME', 'PALMA', 'AGE_DEPENDENCY', 'EPR')",0.748246223548592,0.14872634899326564,0.10660721386551038,0.16902911310339466
"('DESTROYED', 'PALMA', 'AGE_DEPENDENCY', 'I(AGE_DEPENDENCY>0.67)')",0.750736470746127,0.14253277170161394,0.11550577826480403,0.1691006930734303
"('DESTROYED', 'INCOME', 'I(AGE_DEPENDENCY>0.67)', 'TENURE_SECURITY')",0.7547031794666443,0.143953641799725,0.11812062358199969,0.1691236953050268
"('DESTROYED', 'INCOME', 'PALMA', 'AGE_DEPENDENCY', 'TENURE_SECURITY')",0.7471841339904235,0.1454017396998171,0.10928494442754362,0.16916751671231242
"('DESTROYED', 'I(INCOME>0.7)', 'I(PALMA>0.06)', 'I(AGE_DEPENDENCY>0.67)')",0.7588502750084506,0.14433396875553434,0.12223527809713144,0.16923965728140508
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(PALMA>0.06)', 'AGE_DEPENDENCY', 'EPR')",0.7712860103152289,0.1600074792427007,0.11914867219454796,0.1692900470406732
"('DESTROYED', 'I(DESTROYED>4.5)', 'INCOME', 'PALMA')",0.7706763569892875,0.16223131977230237,0.11637972832609772,0.16931156370303754
"('DESTROYED', 'INCOME', 'PALMA', 'I(AGE_DEPENDENCY>0.67)', 'EPR')",0.7453850063943617,0.1462572996117082,0.10729066834025591,0.16938765385253415
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(INCOME>0.7)', 'PALMA', 'I(PALMA>0.06)')",0.7691510970886406,0.16213323910401947,0.11542770409464227,0.1694699487033404
"('DESTROYED', 'I(PALMA>0.06)', 'AGE_DEPENDENCY', 'DESTROYED×INCOME')",0.7495668262674082,0.14362706415538612,0.11442153197834398,0.16949392328877397
"('DESTROYED', 'I(PALMA>0.06)', 'AGE_DEPENDENCY', 'I(AGE_DEPENDENCY>0.67)')",0.7492724282789865,0.1413590180947008,0.11672074470419024,0.16960244483996814
"('DESTROYED', 'I(INCOME>0.7)', 'PALMA', 'I(PALMA>0.06)', 'I(AGE_DEPENDENCY>0.67)')",0.7540441015615905,0.14835071950884993,0.11455534635793765,0.16962065476839902
"('DESTROYED', 'PALMA', 'I(AGE_DEPENDENCY>0.67)', 'EPR', 'DESTROYED×INCOME')",0.743676667340182,0.14483327453941577,0.10772133458132128,0.16962598059351838
"('DESTROYED', 'I(DESTROYED>4.5)', 'INCOME', 'PALMA', 'AGE_DEPENDENCY')",0.7732650455524117,0.16146605078616294,0.12067921185577028,0.1696267390298405
"('DESTROYED', 'PALMA', 'I(AGE_DEPENDENCY>0.67)', 'TENURE_SECURITY')",0.7471113779234589,0.1417326165987191,0.11432433154774638,0.16964852340766887
"('DESTROYED', 'I(DESTROYED>4.5)', 'PALMA', 'I(PALMA>0.06)', 'GRID_SMOD')",0.765846149993294,0.1622735582116974,0.11252804271364594,0.16965181697734977
"('DESTROYED', 'INCOME', 'I(INCOME>0.7)', 'I(PALMA>0.06)', 'AGE_DEPENDENCY')",0.7556018747109038,0.14503341818518883,0.11963921163571524,0.1696902517033334
"('DESTROYED', 'I(INCOME>0.7)', 'I(PALMA>0.06)', 'AGE_DEPENDENCY', 'DESTROYED×INCOME')",0.7585268513415157,0.1469832049858992,0.12074567653418503,0.16973401005952285
"('DESTROYED', 'I(PALMA>0.06)', 'I(AGE_DEPENDENCY>0.67)', 'EPR')",0.7437808383167607,0.14087406599101965,0.1121662354658964,0.16975315438005179
"('DESTROYED', 'I(INCOME>0.7)', 'GRID_SMOD', 'AGE_DEPENDENCY', 'TENURE_SECURITY')",0.7570668602496463,0.14938561510479015,0.11696803126534973,0.1697622620401645
"('DESTROYED', 'I(DESTROYED>4.5)', 'PALMA', 'I(PALMA>0.06)', 'I(TENURE_SECURITY>0.81)')",0.7651971227706472,0.16233699610256516,0.11222306007678608,0.16978764446956798
"('DESTROYED', 'INCOME', 'AGE_DEPENDENCY')",0.7584003583796137,0.1481153857149354,0.11965133579366877,0.16978878770966346
"('DESTROYED', 'I(INCOME>0.7)', 'I(PALMA>0.06)', 'I(AGE_DEPENDENCY>0.67)', 'EPR')",0.7579652368110632,0.14785938034629484,0.11970926327674783,0.1698678022706598
"('DESTROYED', 'PALMA', 'I(AGE_DEPENDENCY>0.67)', 'TENURE_SECURITY', 'DESTROYED×INCOME')",0.7461886892744105,0.1425422100159621,0.1133397267654318,0.16989774916899447
"('DESTROYED', 'INCOME', 'I(PALMA>0.06)', 'I(AGE_DEPENDENCY>0.67)', 'I(TENURE_SECURITY>0.81)')",0.7476962974296735,0.1421508360150057,0.11528206590724412,0.16991220149752548
"('DESTROYED', 'I(DESTROYED>4.5)', 'PALMA', 'I(AGE_DEPENDENCY>0.67)', 'EPR')",0.771552965291239,0.16154300668652308,0.11981336695999432,0.1699344694517595
"('DESTROYED', 'PALMA', 'I(AGE_DEPENDENCY>0.67)', 'EPR')",0.7423445862859989,0.1430305974306895,0.10917275719385332,0.16995292277951465
"('DESTROYED', 'I(INCOME>0.7)', 'I(PALMA>0.06)', 'AGE_DEPENDENCY', 'EPR')",0.761620878648021,0.1519778605074489,0.11952081443690385,0.1699592654321106
"('DESTROYED', 'I(DESTROYED>4.5)', 'AGE_DEPENDENCY', 'I(AGE_DEPENDENCY>0.67)', 'TENURE_SECURITY')",0.7754158037591877,0.15595812534363587,0.12933940921001616,0.1699605769314881
"('DESTROYED', 'I(PALMA>0.06)')",0.7485225200791451,0.14340449206977923,0.11501750076010145,0.16996649091691185
